127,0.844080,0.844080,0.012953,0.012953
128,0.858165,0.858165,0.013042,0.013042
129,0.872543,0.872543,0.013131,0.013131
130,0.887226,0.887226,0.013219,0.013219
131,0.902224,0.902224,0.013308,0.013308
132,0.917549,0.917549,0.013396,0.013396
133,0.933214,0.933214,0.013484,0.013484
134,0.949231,0.949231,0.013571,0.013571
135,0.965615,0.965615,0.013659,0.013659
136,0.982379,0.982379,0.013746,0.013746
137,0.999540,0.999540,0.013833,0.013833
138,1.017114,1.017114,0.013920,0.013920
139,1.035117,1.035117,0.014007,0.014007
140,1.053569,1.053569,0.014093,0.014093
141,1.072488,1.072488,0.014179,0.014179
142,1.091896,1.091896,0.014265,0.014265
143,1.111814,1.111814,0.014351,0.014351
144,1.132266,1.132266,0.014436,0.014436
145,1.153275,1.153275,0.014521,0.014521
146,1.174869,1.174869,0.014606,0.014606
147,1.197076,1.197076,0.014691,0.014691
148,1.219925,1.219925,0.014775,0.014775
149,1.243449,1.243449,0.014859,0.014859
150,1.267682,1.267682,0.014942,0.014942
151,1.292660,1.292660,0.015026,0.015026
152,1.318424,1.318424,0.015109,0.015109
153,1.345014,1.345014,0.015191,0.015191
154,1.372476,1.372476,0.015274,0.015274
155,1.400859,1.400859,0.015355,0.015355
156,1.430214,1.430214,0.015437,0.015437
157,1.460600,1.460600,0.015518,0.015518
158,1.492076,1.492076,0.015599,0.015599
159,1.524708,1.524708,0.015679,0.015679
160,1.558568,1.558568,0.015759,0.015759
161,1.593732,1.593732,0.015838,0.015838
162,1.630285,1.630285,0.015917,0.015917
163,1.668318,1.668318,0.015995,0.015995
164,1.707929,1.707929,0.016073,0.016073
165,1.749228,1.749228,0.016150,0.016150
166,1.792331,1.792331,0.016226,0.016226
167,1.837369,1.837369,0.016302,0.016302
168,1.884482,1.884482,0.016378,0.016378
169,1.933827,1.933827,0.016452,0.016452
170,1.985574,1.985574,0.016526,0.016526
171,2.039911,2.039911,0.016599,0.016599
172,2.097047,2.097047,0.016671,0.016671
173,2.157211,2.157211,0.016743,0.016743
174,2.220659,2.220659,0.016813,0.016813
175,2.287672,2.287672,0.016882,0.016882
176,2.358567,2.358567,0.016951,0.016951
177,2.433694,2.433694,0.017018,0.017018
178,2.513445,2.513445,0.017084,0.017084
179,2.598261,2.598261,0.017148,0.017148
180,2.688632,2.688632,0.017211,0.017211
181,2.785114,2.785114,0.017273,0.017273
182,2.888330,2.888330,0.017333,0.017333
183,2.998986,2.998986,0.017391,0.017391
184,3.117877,3.117877,0.017448,0.017448
185,3.245907,3.245907,0.017502,0.017502
186,3.384100,3.384100,0.017554,0.017554
187,3.533620,3.533620,0.017603,0.017603
188,3.695791,3.695791,0.017650,0.017650
189,3.872119,3.872119,0.017693,0.017693
190,4.064321,4.064321,0.017734,0.017734
191,4.274350,4.274350,0.017770,0.017770
